id;commission_rate;commission_start_date;commission_end_date
1;68;2023-03-10T04:02:43;2023-03-09T12:23:06
2;58;2023-03-10T07:50:58;2023-03-10T01:03:45
3;20;2023-03-09T16:12:22;2023-03-10T08:00:59
4;67;2023-03-10T06:25:12;2023-03-09T17:49:51
5;10;2023-03-10T02:30:11;2023-03-09T19:14:01
6;6;2023-03-09T22:50:49;2023-03-09T21:12:54
7;30;2023-03-10T07:03:18;2023-03-09T11:16:59
8;67;2023-03-10T05:10:34;2023-03-10T10:38:53
9;72;2023-03-10T00:14:47;2023-03-10T02:18:29
10;95;2023-03-09T20:14:05;2023-03-09T22:01:46
