id;user_profit_amount_per_booking;plrs_profit_amount_per_booking;user_profit_amount_per_location_service;plrs_profit_amount_per_location_service;user_total_profit;plrs_total_profit
1;10716;31618;93209;17348;56387;589
2;61075;33754;76288;31766;98075;14388
3;57120;47733;2977;61828;93050;69336
4;41399;26730;94419;13562;92611;60121
5;66604;20378;2436;66999;70675;8813
6;25998;34211;51604;22181;26379;49073
7;65557;2813;99288;7250;2571;83937
8;136;67535;80883;39256;29185;82834
9;83752;76764;79150;66034;97951;73977
10;83352;42510;69481;28694;28926;23533
